date,year,month,period,ch_avg_vnd_kg,lamdong_robusta_vnd_kg,lamdong_arabica_vnd_kg,notes,arabica_usd_kg,robusta_usd_kg,usdvnd_rate,robusta_export_usd_kg,arabica_export_usd_kg,implied_vnd_from_export
2014-06-01,2014,6,2014-06,38000,37600,64000,,4.3627,2.1806,21148.0,2.1806,4.3627,46115.0
2014-07-01,2014,7,2014-07,38500,38100,64000,,4.3409,2.2441,21148.0,2.2441,4.3409,47458.0
2014-08-01,2014,8,2014-08,39000,38600,64000,,4.6952,2.2101,21148.0,2.2101,4.6952,46739.0
2014-09-01,2014,9,2014-09,39500,39100,64000,,4.6414,2.2161,21148.0,2.2161,4.6414,46866.0
2014-10-01,2014,10,2014-10,40000,39600,64000,,4.9668,2.3082,21148.0,2.3082,4.9668,48814.0
2014-11-01,2014,11,2014-11,39000,38600,64000,,4.616,2.2721,21148.0,2.2721,4.616,48050.0
2014-12-01,2014,12,2014-12,38000,37600,64000,,4.3391,2.1973,21148.0,2.1973,4.3391,46469.0
2015-01-01,2015,1,2015-01,39500,39100,62000,,4.1888,2.1607,21697.57,2.1607,4.1888,46882.0
2015-02-01,2015,2,2015-02,41500,41100,62000,,3.9438,2.1685,21697.57,2.1685,3.9438,47051.0
2015-03-01,2015,3,2015-03,41000,40600,62000,,3.5437,2.0318,21697.57,2.0318,3.5437,44085.0
2015-04-01,2015,4,2015-04,39500,39100,62000,,3.6156,2.0296,21697.57,2.0296,3.6156,44037.0
2015-05-01,2015,5,2015-05,38500,38100,62000,,3.4939,1.9304,21697.57,1.9304,3.4939,41885.0
2015-06-01,2015,6,2015-06,37000,36600,62000,,3.5221,1.9897,21697.57,1.9897,3.5221,43172.0
2015-07-01,2015,7,2015-07,36500,36100,62000,,3.405,1.9207,21697.57,1.9207,3.405,41675.0
2015-08-01,2015,8,2015-08,35500,35100,62000,,3.4595,1.8911,21697.57,1.8911,3.4595,41032.0
2015-09-01,2015,9,2015-09,35000,34600,62000,,3.2221,1.7968,21697.57,1.7968,3.2221,38986.0
2015-10-01,2015,10,2015-10,36500,36100,62000,,3.3786,1.825,21697.57,1.825,3.3786,39598.0
2015-11-01,2015,11,2015-11,37000,36600,62000,,3.2624,1.8021,21697.57,1.8021,3.2624,39101.0
2015-12-01,2015,12,2015-12,36000,35600,62000,,3.2774,1.7478,21697.57,1.7478,3.2774,37923.0
2016-01-01,2016,1,2016-01,33500,33100,57000,,3.1974,1.6471,21935.0,1.6471,3.1974,36129.0
2016-02-01,2016,2,2016-02,31500,31100,57000,Lowest domestic price since 2012 (El Niño drought),3.2562,1.6323,21935.0,1.6323,3.2562,35805.0
2016-03-01,2016,3,2016-03,32000,31600,57000,,3.4723,1.6667,21935.0,1.6667,3.4723,36559.0
2016-04-01,2016,4,2016-04,33000,32600,57000,,3.4,1.7677,21935.0,1.7677,3.4,38774.0
2016-05-01,2016,5,2016-05,35000,34600,57000,,3.4213,1.8503,21935.0,1.8503,3.4213,40586.0
2016-06-01,2016,6,2016-06,37000,36600,57000,,3.6475,1.8947,21935.0,1.8947,3.6475,41560.0
2016-07-01,2016,7,2016-07,38500,38100,57000,,3.7867,2.0022,21935.0,2.0022,3.7867,43918.0
2016-08-01,2016,8,2016-08,38000,37600,57000,,3.6936,2.0236,21935.0,2.0236,3.6936,44388.0
2016-09-01,2016,9,2016-09,37000,36600,57000,,3.8867,2.1358,21935.0,2.1358,3.8867,46849.0
2016-10-01,2016,10,2016-10,38500,38100,57000,,3.9454,2.2851,21935.0,2.2851,3.9454,50124.0
2016-11-01,2016,11,2016-11,40000,39600,57000,,4.0591,2.2866,21935.0,2.2866,4.0591,50157.0
2016-12-01,2016,12,2016-12,40500,40100,57000,,3.5666,2.2454,21935.0,2.2454,3.5666,49253.0
2017-01-01,2017,1,2017-01,43000,42600,75000,,3.7172,2.388,22370.09,2.388,3.7172,53420.0
2017-02-01,2017,2,2017-02,47000,46600,75000,,3.6674,2.3477,22370.09,2.3477,3.6674,52518.0
2017-03-01,2017,3,2017-03,46500,46100,75000,,3.5307,2.353,22370.09,2.353,3.5307,52637.0
2017-04-01,2017,4,2017-04,44500,44100,75000,,3.426,2.2835,22370.09,2.2835,3.426,51082.0
2017-05-01,2017,5,2017-05,44000,43600,75000,,3.3069,2.1685,22370.09,2.1685,3.3069,48510.0
2017-06-01,2017,6,2017-06,43000,42600,75000,,3.1575,2.2476,22370.09,2.2476,3.1575,50279.0
2017-07-01,2017,7,2017-07,42000,41600,75000,,3.2994,2.3135,22370.09,2.3135,3.2994,51753.0
2017-08-01,2017,8,2017-08,41500,41100,75000,,3.3043,2.3043,22370.09,2.3043,3.3043,51547.0
2017-09-01,2017,9,2017-09,42500,42100,75000,,3.2311,2.1865,22370.09,2.1865,3.2311,48912.0
2017-10-01,2017,10,2017-10,45000,44600,75000,,3.1021,2.1691,22370.09,2.1691,3.1021,48523.0
2017-11-01,2017,11,2017-11,47000,46600,75000,,3.1063,2.0135,22370.09,2.0135,3.1063,45042.0
2017-12-01,2017,12,2017-12,45500,45100,75000,,3.0296,1.931,22370.09,1.931,3.0296,43197.0
2018-01-01,2018,1,2018-01,43000,42600,70000,,3.0602,1.9544,22602.05,1.9544,3.0602,44173.0
2018-02-01,2018,2,2018-02,43500,43100,70000,,3.0045,1.9674,22602.05,1.9674,3.0045,44467.0
2018-03-01,2018,3,2018-03,43000,42600,70000,,2.9769,1.944,22602.05,1.944,2.9769,43938.0
2018-04-01,2018,4,2018-04,40500,40100,70000,,2.9617,1.9469,22602.05,1.9469,2.9617,44004.0
2018-05-01,2018,5,2018-05,38500,38100,70000,,2.9897,1.9564,22602.05,1.9564,2.9897,44219.0
2018-06-01,2018,6,2018-06,37000,36600,70000,,2.9549,1.8975,22602.05,1.8975,2.9549,42887.0
2018-07-01,2018,7,2018-07,36500,36100,70000,,2.8792,1.8611,22602.05,1.8611,2.8792,42065.0
2018-08-01,2018,8,2018-08,37000,36600,70000,,2.7604,1.78,22602.05,1.78,2.7604,40232.0
2018-09-01,2018,9,2018-09,37500,37100,70000,,2.6716,1.6909,22602.05,1.6909,2.6716,38218.0
2018-10-01,2018,10,2018-10,39500,39100,70000,,3.0278,1.881,22602.05,1.881,3.0278,42514.0
2018-11-01,2018,11,2018-11,38000,37600,70000,,3.0228,1.8413,22602.05,1.8413,3.0228,41617.0
2018-12-01,2018,12,2018-12,35500,35100,70000,,2.8021,1.7101,22602.05,1.7101,2.8021,38652.0
2019-01-01,2019,1,2019-01,34500,34100,55000,,2.8321,1.7249,23050.24,1.7249,2.8321,39759.0
2019-02-01,2019,2,2019-02,36000,35600,55000,,2.8318,1.7339,23050.24,1.7339,2.8318,39967.0
2019-03-01,2019,3,2019-03,36500,36100,55000,,2.7313,1.6967,23050.24,1.6967,2.7313,39109.0
2019-04-01,2019,4,2019-04,32000,31600,55000,,2.6705,1.6155,23050.24,1.6155,2.6705,37238.0
2019-05-01,2019,5,2019-05,30000,29600,55000,"5-year low ~30,000 VND/kg (USDA confirmed)",2.6577,1.5679,23050.24,1.5679,2.6577,36140.0
2019-06-01,2019,6,2019-06,30500,30100,55000,,2.8601,1.6319,23050.24,1.6319,2.8601,37616.0
2019-07-01,2019,7,2019-07,31000,30600,55000,,2.9866,1.6299,23050.24,1.6299,2.9866,37570.0
2019-08-01,2019,8,2019-08,31500,31100,55000,,2.7829,1.5602,23050.24,1.5602,2.7829,35963.0
2019-09-01,2019,9,2019-09,32000,31600,55000,,2.8415,1.5573,23050.24,1.5573,2.8415,35896.0
2019-10-01,2019,10,2019-10,33000,32600,55000,,2.7996,1.513,23050.24,1.513,2.7996,34875.0
2019-11-01,2019,11,2019-11,34500,34100,55000,,3.1081,1.6155,23050.24,1.6155,3.1081,37238.0
2019-12-01,2019,12,2019-12,34000,33600,55000,,3.4551,1.6144,23050.24,1.6144,3.4551,37212.0
2020-01-01,2020,1,2020-01,34000,33600,55000,,3.1347,1.5554,23208.37,1.5554,3.1347,36098.0
2020-02-01,2020,2,2020-02,34500,34100,55000,,2.9873,1.5007,23208.37,1.5007,2.9873,34829.0
2020-03-01,2020,3,2020-03,32500,32100,55000,,3.2701,1.4872,23208.37,1.4872,3.2701,34515.0
2020-04-01,2020,4,2020-04,31000,30600,55000,COVID-19 export disruption,3.4066,1.4101,23208.37,1.4101,3.4066,32726.0
2020-05-01,2020,5,2020-05,31500,31100,55000,,3.3034,1.4226,23208.37,1.4226,3.3034,33016.0
2020-06-01,2020,6,2020-06,32000,31600,55000,,3.12,1.4246,23208.37,1.4246,3.12,33063.0
2020-07-01,2020,7,2020-07,32500,32100,55000,,3.2359,1.4923,23208.37,1.4923,3.2359,34634.0
2020-08-01,2020,8,2020-08,32000,31600,55000,,3.599,1.6023,23208.37,1.6023,3.599,37187.0
2020-09-01,2020,9,2020-09,33000,32600,55000,,3.672,1.6043,23208.37,1.6043,3.672,37233.0
2020-10-01,2020,10,2020-10,35000,34600,55000,,3.3523,1.5071,23208.37,1.5071,3.3523,34977.0
2020-11-01,2020,11,2020-11,36000,35600,55000,,3.323,1.5957,23208.37,1.5957,3.323,37034.0
2020-12-01,2020,12,2020-12,35500,35100,55000,,3.4791,1.5882,23208.37,1.5882,3.4791,36860.0
2021-01-01,2021,1,2021-01,36500,36100,62000,,3.5424,1.5593,23159.78,1.5593,3.5424,36113.0
2021-02-01,2021,2,2021-02,38000,37600,62000,,3.6691,1.6175,23159.78,1.6175,3.6691,37461.0
2021-03-01,2021,3,2021-03,38500,38100,62000,,3.6828,1.6283,23159.78,1.6283,3.6828,37711.0
2021-04-01,2021,4,2021-04,38000,37600,62000,,3.7181,1.6416,23159.78,1.6416,3.7181,38019.0
2021-05-01,2021,5,2021-05,37500,37100,62000,,4.1107,1.7566,23159.78,1.7566,4.1107,40682.0
2021-06-01,2021,6,2021-06,37000,36600,62000,,4.243,1.8702,23159.78,1.8702,4.243,43313.0
2021-07-01,2021,7,2021-07,38000,37600,62000,,4.5038,2.0805,23159.78,2.0805,4.5038,48184.0
2021-08-01,2021,8,2021-08,40000,39600,62000,,4.7673,2.0984,23159.78,2.0984,4.7673,48598.0
2021-09-01,2021,9,2021-09,41000,40600,62000,,4.9723,2.306,23159.78,2.306,4.9723,53406.0
2021-10-01,2021,10,2021-10,42000,41600,62000,,5.3145,2.3201,23159.78,2.3201,5.3145,53733.0
2021-11-01,2021,11,2021-11,42500,42100,62000,,5.7091,2.4119,23159.78,2.4119,5.7091,55859.0
2021-12-01,2021,12,2021-12,41500,41100,62000,,5.9101,2.4837,23159.78,2.4837,5.9101,57522.0
2022-01-01,2022,1,2022-01,41500,41100,66000,,5.9763,2.4251,23271.21,2.4251,5.9763,56435.0
2022-02-01,2022,2,2022-02,43000,42600,66000,,6.1692,2.4125,23271.21,2.4125,6.1692,56142.0
2022-03-01,2022,3,2022-03,44500,44100,66000,,5.6985,2.2888,23271.21,2.2888,5.6985,53263.0
2022-04-01,2022,4,2022-04,44000,43600,66000,,5.8541,2.291,23271.21,2.291,5.8541,53314.0
2022-05-01,2022,5,2022-05,43500,43100,66000,,5.7413,2.273,23271.21,2.273,5.7413,52895.0
2022-06-01,2022,6,2022-06,42000,41600,66000,,6.0338,2.2886,23271.21,2.2886,6.0338,53258.0
2022-07-01,2022,7,2022-07,41000,40600,66000,,5.6392,2.2121,23271.21,2.2121,5.6392,51478.0
2022-08-01,2022,8,2022-08,40500,40100,66000,,5.9179,2.4174,23271.21,2.4174,5.9179,56256.0
2022-09-01,2022,9,2022-09,41500,41100,66000,,5.8971,2.4551,23271.21,2.4551,5.8971,57133.0
2022-10-01,2022,10,2022-10,43000,42600,66000,,5.2929,2.271,23271.21,2.271,5.2929,52849.0
2022-11-01,2022,11,2022-11,44500,44100,66000,,4.7155,2.0413,23271.21,2.0413,4.7155,47504.0
2022-12-01,2022,12,2022-12,44000,43600,66000,,4.6295,2.0454,23271.21,2.0454,4.6295,47599.0
2023-01-01,2023,1,2023-01,46000,45600,95000,,4.5583,2.116,23787.32,2.116,4.5583,50334.0
2023-02-01,2023,2,2023-02,48500,48100,95000,,5.0647,2.2913,23787.32,2.2913,5.0647,54504.0
2023-03-01,2023,3,2023-03,51000,50600,95000,,4.9022,2.3477,23787.32,2.3477,4.9022,55845.0
2023-04-01,2023,4,2023-04,54000,53600,95000,,5.0609,2.5507,23787.32,2.5507,5.0609,60674.0
2023-05-01,2023,5,2023-05,58000,57600,95000,,4.8528,2.7018,23787.32,2.7018,4.8528,64269.0
2023-06-01,2023,6,2023-06,63000,62600,95000,,4.5722,2.913,23787.32,2.913,4.5722,69292.0
2023-07-01,2023,7,2023-07,68000,67600,95000,,4.2657,2.8127,23787.32,2.8127,4.2657,66907.0
2023-08-01,2023,8,2023-08,72000,71600,95000,,4.1167,2.7474,23787.32,2.7474,4.1167,65353.0
2023-09-01,2023,9,2023-09,75000,74600,95000,,4.0459,2.7313,23787.32,2.7313,4.0459,64970.0
2023-10-01,2023,10,2023-10,80000,79600,95000,Rapid price surge — supply crunch begins,4.0477,2.62,23787.32,2.62,4.0477,62323.0
2023-11-01,2023,11,2023-11,85000,84600,95000,,4.3471,2.7035,23787.32,2.7035,4.3471,64309.0
2023-12-01,2023,12,2023-12,88000,87600,95000,,4.6465,2.9866,23787.32,2.9866,4.6465,71043.0
2024-01-01,2024,1,2024-01,89000,88600,150000,,4.4732,3.2639,24164.89,3.2639,4.4732,78872.0
2024-02-01,2024,2,2024-02,92000,91600,150000,,4.6028,3.3781,24164.89,3.3781,4.6028,81631.0
2024-03-01,2024,3,2024-03,93000,92600,150000,,4.605,3.6564,24164.89,3.6564,4.605,88357.0
2024-04-01,2024,4,2024-04,96000,95600,150000,,5.2743,4.2335,24164.89,4.2335,5.2743,102302.0
2024-05-01,2024,5,2024-05,100000,99600,150000,,5.0832,4.0422,24164.89,4.0422,5.0832,97679.0
2024-06-01,2024,6,2024-06,110000,109600,150000,,5.4761,4.5043,24164.89,4.5043,5.4761,108846.0
2024-07-01,2024,7,2024-07,115000,114600,150000,,5.6681,4.7338,24164.89,4.7338,5.6681,114392.0
2024-08-01,2024,8,2024-08,119500,119100,150000,,5.7638,4.7329,24164.89,4.7329,5.7638,114370.0
2024-09-01,2024,9,2024-09,128000,127600,150000,,6.1247,5.3303,24164.89,5.3303,6.1247,128806.0
2024-10-01,2024,10,2024-10,131000,130600,150000,"All-time domestic high ~131,000 VND/kg",6.1017,4.8923,24164.89,4.8923,6.1017,118222.0
2024-11-01,2024,11,2024-11,128000,127600,150000,,6.7237,4.9849,24164.89,4.9849,6.7237,120460.0
2024-12-01,2024,12,2024-12,125000,124600,150000,,7.5693,5.219,24164.89,5.219,7.5693,126117.0
2025-01-01,2025,1,2025-01,133000,132600,155000,,7.8147,5.4077,24164.89,5.4077,7.8147,130676.0
2025-02-01,2025,2,2025-02,135000,134600,155000,Peak price plateau before correction,9.0493,5.8125,24164.89,5.8125,9.0493,140458.0
2025-03-01,2025,3,2025-03,132000,131600,155000,,8.9195,5.6899,24164.89,5.6899,8.9195,137496.0
2025-04-01,2025,4,2025-04,128000,127600,155000,,8.6359,5.4251,24164.89,5.4251,8.6359,131097.0
2025-05-01,2025,5,2025-05,124000,123600,155000,,8.7709,5.2415,24164.89,5.2415,8.7709,126660.0
2025-06-01,2025,6,2025-06,120000,119600,155000,,8.0063,4.3257,24164.89,4.3257,8.0063,104530.0
2025-07-01,2025,7,2025-07,116000,115600,155000,,7.176,3.6859,24164.89,3.6859,7.176,89069.0
2025-08-01,2025,8,2025-08,115000,114600,155000,,8.076,4.3901,24164.89,4.3901,8.076,106086.0
2025-09-01,2025,9,2025-09,114000,113600,155000,,8.8315,4.6575,24164.89,4.6575,8.8315,112548.0
2025-10-01,2025,10,2025-10,113000,112600,155000,,8.902,4.7413,24164.89,4.7413,8.902,114573.0
2025-11-01,2025,11,2025-11,112000,111600,155000,,9.0458,4.7379,24164.89,4.7379,9.0458,114491.0
2025-12-01,2025,12,2025-12,110000,109600,155000,,8.4047,4.2013,24164.89,4.2013,8.4047,101524.0
2026-01-01,2026,1,2026-01,98300,97900,120000,,,,,,,
2026-02-01,2026,2,2026-02,93000,92600,120000,,,,,,,
2026-03-01,2026,3,2026-03,89000,88600,120000,,,,,,,
2026-04-01,2026,4,2026-04,85400,85000,120000,Post-surge correction; US tariff shock (Apr 2026),,,,,,
2026-05-01,2026,5,2026-05,85500,85100,120000,,,,,,,
